111,207,Dr. Howard Mierzwiak,38,ACTOR
112,209,Carrie Eakin,38,ACTOR
113,212,Rob Eakin,38,ACTOR
114,77013,Hollis Mierzwiak,38,ACTOR
115,130840,Frank,38,ACTOR
116,220,Young Clementine,38,ACTOR
117,211,Joel's Mother,38,ACTOR
118,213,Train Conductor,38,ACTOR
119,214,Young Bully,38,ACTOR
120,216,Young Bully,38,ACTOR
121,85,Jack Sparrow,58,ACTOR
122,114,Will Turner,58,ACTOR
123,116,Elizabeth Swann,58,ACTOR
124,1640,"William ""Bootstrap Bill"" Turner",58,ACTOR
125,2440,Davy Jones,58,ACTOR
126,1709,James Norrington,58,ACTOR
127,2449,Joshamee Gibbs,58,ACTOR
128,378,Weatherby Swann,58,ACTOR
129,1710,Pintel,58,ACTOR
130,1711,Ragetti,58,ACTOR
131,2441,Cutler Beckett,58,ACTOR
132,2038,Tia Dalma,58,ACTOR
133,1715,Cotton,58,ACTOR
134,4030,Marty,58,ACTOR
135,939,Ian Mercer,58,ACTOR
136,245,Dr. David Bowman,62,ACTOR
137,246,Dr. Frank Poole,62,ACTOR
138,247,Dr. Heywood Floyd,62,ACTOR
139,253,HAL 9000 (voice),62,ACTOR
140,248,Moonwatcher,62,ACTOR
141,249,Dr. Andrei Smyslov,62,ACTOR
142,250,Elena,62,ACTOR
143,251,Dr. Ralph Halvorsen,62,ACTOR
144,108277,Aries-1B Lunar Shuttle Captain,62,ACTOR
145,117540,Aries-1B Stewardess,62,ACTOR
146,127363,Stewardess,62,ACTOR
147,1819434,Stewardess,62,ACTOR
148,1819435,Stewardess,62,ACTOR
149,93948,Poole's Father,62,ACTOR
150,107445,Poole's Mother,62,ACTOR
151,500,Ray Ferrier,74,ACTOR
152,501,Rachel Ferrier,74,ACTOR
153,503,Robbie Ferrier,74,ACTOR
154,502,Mary-Ann,74,ACTOR
155,504,Harlan Ogilvy,74,ACTOR
156,53184,Vincent,74,ACTOR
157,75604,Julio,74,ACTOR
158,37157,Manny the Mechanic,74,ACTOR
159,4494,Bartender,74,ACTOR
160,103079,Grandmother,74,ACTOR
161,56442,Grandfather,74,ACTOR
162,59690,Tim,74,ACTOR
163,1599519,Herself,74,ACTOR
164,505,News Producer,74,ACTOR
165,167109,News Cameraman,74,ACTOR
166,3,Rick Deckard,78,ACTOR
167,585,Roy Batty,78,ACTOR
168,586,Rachael,78,ACTOR
169,587,Gaff,78,ACTOR
170,588,Bryant,78,ACTOR
171,589,Pris,78,ACTOR
172,590,J.F. Sebastian,78,ACTOR
173,591,Leon Kowalski,78,ACTOR
174,592,Dr. Eldon Tyrell,78,ACTOR
175,593,Zhora,78,ACTOR
176,20904,Hannibal Chew,78,ACTOR
177,53760,Bear,78,ACTOR
178,107074,Taffey Lewis,78,ACTOR
179,112965,Abdul Ben Hassan (uncredited),78,ACTOR
180,1198993,Showgirl (uncredited),78,ACTOR
181,613,Nausicaä (voice),81,ACTOR
182,617,Mito (voice),81,ACTOR
183,616,Yupa (voice),81,ACTOR
184,622,Asbel (voice),81,ACTOR
185,624,Kushana (voice),81,ACTOR
186,625,Kurotowa (voice),81,ACTOR
187,615,Obaba (voice),81,ACTOR
188,614,Jihl (voice),81,ACTOR
189,623,Lastel (voice),81,ACTOR
190,619,Gikkuri (voice),81,ACTOR
191,620,Niga (voice),81,ACTOR
192,621,Toeto / Girl C (voice),81,ACTOR
193,1243597,Girl A (voice),81,ACTOR
194,1241776,Girl B (voice),81,ACTOR
195,55664,Boy A (voice),81,ACTOR
196,3,Indiana Jones,85,ACTOR
197,650,Marion Ravenwood,85,ACTOR
198,652,Dr. René Belloq,85,ACTOR
